id,stock__ticker,date,open,high,low,close,adj_close,volume,daily_return,trend,adj_close_to_usd
1528565,WST,2024-12-05,319.25,321.4200134277344,313.9200134277344,318.20001220703125,318.20001220703125,287000,-0.8969647706728608,Negative Change,318.20001220703125
1526888,SO,2024-11-29,89.91000366210938,90.08999633789062,88.91999816894531,89.12999725341797,89.12999725341797,2364000,-0.6797421716875662,Negative Change,89.12999725341797
1527413,SO,2024-12-02,89.38999938964844,89.38999938964844,87.63999938964844,87.7699966430664,87.7699966430664,4030000,,,87.7699966430664
1527414,SO,2024-12-03,88.2699966430664,88.5,86.23999786376953,86.26000213623047,86.26000213623047,5724600,,,86.26000213623047
1528157,SO,2024-12-04,86.16999816894531,86.47000122070312,85.5,85.8499984741211,85.8499984741211,3795700,-0.4753114444187655,Negative Change,85.8499984741211
1528573,SO,2024-12-05,85.9000015258789,86.6500015258789,85.88999938964844,86.19000244140625,86.19000244140625,3007600,0.3960442321820753,Positive Change,86.19000244140625
1526915,UNP,2024-11-29,245.08999633789062,246.6300048828125,244.10000610351562,244.66000366210938,244.66000366210938,1484900,-0.23243162555977567,Insignificant Change,244.66000366210938
1527339,UNP,2024-12-02,244.02999877929688,244.57000732421875,240.41000366210938,240.77999877929688,240.77999877929688,3100000,,,240.77999877929688
1527340,UNP,2024-12-03,241.72999572753906,241.72999572753906,235.11000061035156,236.99000549316406,236.99000549316406,4196800,,,236.99000549316406
1528158,UNP,2024-12-04,236.6999969482422,237.85000610351562,233.61000061035156,235.0,235.0,3264900,-0.8397001759728064,Negative Change,235.0
1528574,UNP,2024-12-05,235.3300018310547,235.5399932861328,233.57000732421875,234.6300048828125,234.6300048828125,2011400,-0.15744473071808512,Insignificant Change,234.6300048828125
1526892,CHD,2024-11-29,109.91999816894531,110.58000183105469,109.3499984741211,110.12999725341797,110.12999725341797,965200,-0.20841188443416866,Insignificant Change,110.12999725341797
1527417,CHD,2024-12-02,110.87999725341797,113.44000244140625,110.0,111.23999786376953,111.23999786376953,2076300,,,111.23999786376953
1527418,CHD,2024-12-03,111.29000091552734,111.4800033569336,109.69000244140625,109.95999908447266,109.95999908447266,1055500,,,109.95999908447266
1528160,CHD,2024-12-04,109.25,110.0,108.41000366210938,109.88999938964844,109.88999938964844,1058900,-0.06365923554659554,Insignificant Change,109.88999938964844
1528576,CHD,2024-12-05,109.43000030517578,110.80999755859375,109.0,109.16000366210938,109.16000366210938,1836200,-0.6642967800469636,Negative Change,109.16000366210938
1526919,GPC,2024-11-29,126.5199966430664,127.68000030517578,126.33000183105469,126.7300033569336,126.7300033569336,554500,-0.11034869284907396,Insignificant Change,126.7300033569336
1527343,GPC,2024-12-02,127.58999633789062,128.5399932861328,126.55000305175781,127.52999877929688,127.52999877929688,3119700,,,127.52999877929688
1527344,GPC,2024-12-03,127.25,127.91999816894531,126.11000061035156,127.37000274658203,127.37000274658203,924000,,,127.37000274658203
1528162,GPC,2024-12-04,126.73999786376953,127.5199966430664,125.77999877929688,125.88999938964844,125.88999938964844,796600,-1.1619716770189907,Negative Change,125.88999938964844
1528577,GPC,2024-12-05,125.87000274658203,126.16000366210938,123.86000061035156,124.62000274658203,124.62000274658203,1144200,-1.008814559713815,Negative Change,124.62000274658203
1526901,HPE,2024-11-29,20.829999923706055,21.420000076293945,20.809999465942383,21.219999313354492,21.219999313354492,7085600,2.0192312100935426,Positive Change,21.219999313354492
